"state","period_start","period_end","duration"
"Intermediate","2021-03-18 06:33:17+01","2021-03-18 06:33:18+01","00:00:01"
"Active","2021-03-18 06:33:18+01","2021-03-18 06:33:23+01","00:00:05"
"Intermediate","2021-03-18 06:33:23+01","2021-03-18 06:33:25+01","00:00:02"
"Active","2021-03-18 06:33:25+01","2021-03-18 06:33:27+01","00:00:02"
"Intermediate","2021-03-18 06:33:27+01","2021-03-18 06:33:30+01","00:00:03"
"Active","2021-03-18 06:33:30+01","2021-03-18 06:33:31+01","00:00:01"
"Intermediate","2021-03-18 06:33:31+01","2021-03-18 06:33:32+01","00:00:01"
"Idle","2021-03-18 06:33:32+01","2021-03-18 06:33:34+01","00:00:02"
"Intermediate","2021-03-18 06:33:34+01","2021-03-18 06:33:36+01","00:00:02"
"Idle","2021-03-18 06:33:36+01","2021-03-18 06:34:01+01","00:00:25"
"Intermediate","2021-03-18 06:34:01+01","2021-03-18 06:34:02+01","00:00:01"
"Idle","2021-03-18 06:34:02+01","2021-03-18 06:34:03+01","00:00:01"
"Intermediate","2021-03-18 06:34:03+01","2021-03-18 06:34:04+01","00:00:01"
"Active","2021-03-18 06:34:04+01","2021-03-18 06:34:08+01","00:00:04"
"Intermediate","2021-03-18 06:34:08+01","2021-03-18 06:34:09+01","00:00:01"
"Active","2021-03-18 06:34:09+01","2021-03-18 06:34:10+01","00:00:01"
"Intermediate","2021-03-18 06:34:10+01","2021-03-18 06:34:14+01","00:00:04"
"Active","2021-03-18 06:34:14+01","2021-03-18 06:34:16+01","00:00:02"
"Intermediate","2021-03-18 06:34:16+01","2021-03-18 06:34:17+01","00:00:01"
"Active","2021-03-18 06:34:17+01","2021-03-18 06:34:18+01","00:00:01"
"Intermediate","2021-03-18 06:34:18+01","2021-03-18 06:34:19+01","00:00:01"
"Active","2021-03-18 06:34:19+01","2021-03-18 06:34:20+01","00:00:01"
"Intermediate","2021-03-18 06:34:20+01","2021-03-18 06:34:22+01","00:00:02"
"Active","2021-03-18 06:34:22+01","2021-03-18 06:34:35+01","00:00:13"
"Intermediate","2021-03-18 06:34:35+01","2021-03-18 06:34:38+01","00:00:03"
"Active","2021-03-18 06:34:38+01","2021-03-18 06:34:40+01","00:00:02"
"Intermediate","2021-03-18 06:34:40+01","2021-03-18 06:34:42+01","00:00:02"
"Active","2021-03-18 06:34:42+01","2021-03-18 06:34:43+01","00:00:01"
"Intermediate","2021-03-18 06:34:43+01","2021-03-18 06:34:47+01","00:00:04"
